src_origin_id,dst_origin_id,edge_type,src_id,dst_id
31429013,29407041,2,952,444
23016206,30317100,1,28,792
87557124,62764098,3,761,650
73714112,90432257,5,297,132
85749296,69668083,0,746,559
55620937,56028780,2,213,440
21443069,24582405,1,964,659
50570245,86302522,5,889,926
57684912,57444636,1,743,776
51078726,3418754,0,523,791
60608235,86514354,1,211,370
4301854,11693022,5,445,790
69432213,79175595,2,398,42
81122802,48717201,1,31,17
98528968,30976923,5,942,505
62962113,6801059,1,696,433
6390382,31862301,1,760,984
6452241,19857504,2,868,795
55057068,19261088,5,97,81
66171129,94868179,1,420,949
44965957,6197407,5,20,340
35295072,58911091,2,610,447
97923278,4396333,4,29,479
8625969,11693022,0,296,790
30740191,54166930,4,993,602
55057068,67263539,4,97,639
91614334,77642160,4,43,155
81997559,83187549,1,60,619
24482925,98228577,0,450,202
86617822,59355448,5,147,787
97923278,72498770,4,29,910
43545057,4381854,2,647,377
32765650,89599410,2,359,925
29309810,45813345,0,662,26
79175595,24886023,3,42,106
51884317,6978537,4,253,221
29734570,72995787,1,152,360
26380823,71466941,4,561,621
87316948,19261088,0,799,81
67897782,12159158,3,343,861
42058530,63531924,1,113,292
76082238,1080179,0,366,248
34027965,63041014,0,258,100
33062810,34133608,2,906,51
12497395,51078726,3,898,523
9306830,14734747,0,840,144
17302357,31710990,3,72,554
47947742,21448951,5,632,301
87320629,30956538,2,609,453
57077468,33062810,3,2,906
52416792,63143987,3,395,778
73898869,85727169,0,57,525
3925951,17846389,2,755,624
20970263,36123916,0,605,38
41986844,11208878,3,604,515
3925951,52963031,4,755,254
12159158,34922000,0,861,427
86783398,41222718,2,163,796
87818954,30725077,3,182,729
87071227,12497395,3,530,898
24034807,87440413,4,18,916
47947742,88883775,0,632,430
84271563,51004747,0,13,391
47825457,86290932,0,414,533
80990934,64916221,5,962,291
54355321,90787376,3,219,283
43545057,34423462,0,647,694
75583606,3278448,5,323,91
1056137,86617822,1,740,147
81822157,31862301,1,300,984
13280193,37797219,0,934,676
87697604,66375738,2,600,417
64391713,43007766,5,677,30
30514367,41036694,5,953,692
30514367,30893524,0,953,389
35236735,54609485,2,756,863
7795028,52903951,0,560,567
48118511,25486926,2,379,490
78813012,51004747,0,682,391
29470098,84637025,4,287,716
89043608,43338530,2,197,691
55927175,44761260,4,322,175
72578540,40815137,3,76,280
58127645,86302522,0,545,926
91959211,28050034,1,136,912
38110561,20970263,5,107,605
82300536,75090190,5,978,34
84046419,66449397,1,208,65
31614718,16307500,5,83,777
73373071,29793503,3,982,345
76975959,97587593,0,384,243
57665258,10944508,0,8,687
26133197,80080118,0,139,833
36080058,60931922,3,928,246
48547731,95851667,5,271,825
1493082,35733573,1,526,236
55057068,96048451,2,97,388
31895993,26814424,1,592,252
19562145,14457236,5,179,355
33125537,32761047,5,362,556
57077468,74874846,0,2,797
54187483,66386260,2,116,798
59398989,71585330,4,210,695
51385896,74874846,1,615,797
16916110,81967771,0,74,915
4748874,53214565,2,812,697
24683403,38568536,2,588,972
60931922,47066510,5,246,950
48164460,84794180,3,75,190
70182153,97649348,2,110,381
25818739,10678760,0,586,449
76754771,87818954,4,240,182
74672784,97236644,2,374,519
58169612,19067526,0,114,416
61315182,95326023,4,58,720
84249880,24361801,3,879,576
48133428,16735717,1,895,21
91296187,39952574,4,204,461
41036694,78713684,1,692,772
69953521,97555931,4,971,828
91296187,37411328,1,204,646
