src_origin_id,dst_origin_id,edge_type
59979087,8037069,2
4449259,4574185,2
68920491,4293435,2
94794415,73257134,2
52519746,73818897,2
51252932,31385488,2
76863896,49151534,1
47816357,40406738,1
85634252,84051388,2
3043561,30296202,1
93520137,46695055,2
95826133,45335172,2
37187658,50250153,2
3074228,83827776,1
27221222,83527038,2
2015515,4294049,1
11362907,57303434,2
26555355,48945237,1
94953815,81769175,1
63176449,2253877,1
18729173,55610373,2
4634419,41432282,1
73825960,72866661,2
70580769,66655833,1
41293120,46750376,2
79841776,51310197,2
37532641,98005269,2
34044866,36674503,1
1013990,18203025,1
71087673,47898875,1
71830144,53630767,2
36964396,94120065,1
8383150,45335172,1
72208118,27410436,1
81404877,97271167,1
58713277,83832488,2
29848328,27866384,2
31146018,47071518,1
46145472,40228913,2
94352667,94698023,1
74834033,9034827,1
8963040,47071518,2
77566275,45499241,2
27047919,20688731,2
72661267,47322095,2
68330823,89019807,1
13036784,48945237,2
37502990,13036784,1
35833182,31303766,1
91483642,27952786,1
98423772,71087673,2
2530370,1197918,1
15159568,20818552,1
27410436,37421444,1
99431405,78128030,2
6902281,2490822,2
46333399,46725166,2
51223342,74345801,2
59698456,47357817,1
78080024,90233535,2
1909339,44962731,1
83827776,23490241,2
84672707,76554114,1
83282296,39376211,2
85859342,8693754,2
20153226,47357817,1
86756445,45990138,1
84802060,88233505,2
14746998,32627895,2
99099551,58433227,2
76671007,3074228,2
11300062,54765901,2
48945237,2967861,1
99250304,39992385,1
6539683,6344277,2
13857148,69214312,1
18203025,78100062,1
63559877,11841039,2
11841039,15941972,1
3034317,55182740,1
39202072,8963040,1
70383408,90430454,2
71428421,3355211,2
54942642,18047370,2
13286828,37097757,1
76100399,45274356,2
64857112,52309191,1
67802809,30927371,1
94120065,88524690,2
69214312,31184430,1
68607030,46724148,1
58433227,81310739,2
68089076,94658761,2
78010500,37556663,2
98378496,17237660,1
38415243,31868927,2
52926870,3043561,2
27402171,23384883,2
79670402,40695972,2
20714438,54574136,2
92523951,79670402,2
88677902,67010076,2
32050951,44780972,1
41870667,5536379,1
14355256,38455192,2
90959556,13420322,2
36193280,84051388,1
80290923,55251756,1
91846905,13721129,2
66779712,60922370,2
32042730,15941972,1
65133803,74301887,2
68780466,54557409,1
92523951,79606521,1
8710793,18956374,2
75033688,26561160,2
77604210,63514877,1
70971988,57361282,1
89660514,68775273,2
14130343,9013426,2
29952687,48357163,1
27028477,85626932,2
96300127,19686554,2
94666103,66793671,1
50960045,58685182,1
74073030,73099558,2
11894572,91788417,1
26555355,49151534,2
6344277,58713277,2
28252053,66180684,1
2938645,34872913,1
29450849,27402171,2
99099551,95554445,2
34872913,1197918,1
76339936,14988572,1
76100399,46695055,2
70052585,68780466,1
95826133,38643000,1
1783071,49941591,1
53208998,9820833,2
76863896,87991063,1
50937583,27402171,1
74454416,55566923,1
87689366,73953635,2
2361129,37421444,2
91858045,38301746,1
48043921,22917596,1
68607030,95153062,2
62295681,31437775,1
92523951,47030957,2
78134743,13857148,2
62073330,8681781,2
46780709,20525355,1
15566006,28245948,1
42907477,55566923,1
6159312,79606521,1
80889253,74158023,1
11047977,29470027,1
48043921,17287080,2
21115640,68519817,1
5993527,62443889,1
69931260,97561064,2
77276493,75906761,1
69236877,39992385,2
73825960,23383243,2
88608944,57454466,2
11782869,27565620,2
44597564,94352667,2
42233067,41432282,1
99250304,62073330,2
1356835,49267308,1
1368680,16046965,1
1208580,57619318,1
71428421,40089677,1
70610490,28089126,1
9901689,2079460,1
61229605,77109152,1
70971988,46274912,2
5984696,76415424,2
84016892,53208998,1
62002370,72986438,2
68118235,81605408,2
96007668,83718079,2
98623703,54044477,2
47816357,36674503,1
40380082,87912003,2
8710793,78200169,2
53208998,68917540,2
76100399,50250153,1
19153623,81938027,1
95437743,91611215,2
45277950,37655465,1
1356835,79229286,2
31437775,59071361,1
90233535,20559342,1
2060106,31146018,1
43231809,37113338,1
98571925,24655996,1
78412165,4449259,1
47816357,2079460,2
95184348,13036784,1
33451035,38308060,2
45167728,88963563,2
52884794,61229605,2
36512964,14519056,1
49738747,40089677,2
57514371,51852077,1
91483642,51094488,1
40228913,1368680,2
11841039,4434952,2
91157005,73818897,1
76100399,67282173,1
45335172,66159459,1
84802060,18047370,1
95451477,3838367,1
1013990,70971988,1
80397737,40380082,2
6518014,4836298,1
23869190,62230473,1
65639044,68330823,1
82594062,30414554,2
54737719,55182740,1
3767680,94658761,1
15960857,49078377,2
13296659,25717661,1
88608944,30426367,2
74540377,28252053,2
7077999,19686554,2
72883533,28252053,1
77440365,5750662,1
22217366,43422077,1
62002370,39374992,1
13422367,27800418,2
55852776,8383150,2
30414554,57057530,2
97354792,51372304,2
24192935,91611215,1
26321046,53596992,1
3912027,41432282,1
85225525,45274356,1
51252932,24655996,1
73458571,60870059,2
70971988,31107120,1
74073030,37097757,1
2938645,67181841,2
37113338,52736884,1
7519652,89524471,2
20153226,75085287,2
3074228,28164398,2
4520873,40120676,1
39202072,14398967,2
92010362,26555355,2
2322309,69987535,2
85626932,67802809,2
27649656,58336122,1
90233535,42365909,2
86295256,11001171,2
45277950,87689366,2
66961566,4836298,2
84288291,89829116,1
83827776,16384480,2
52926870,89907535,1
73608067,72055385,1
99720713,47699636,1
21086364,24918530,1
40695972,62002370,1
98423772,52564440,1
89524471,26949505,2
91788417,54557409,1
1197918,83527038,1
94666103,42233067,1
58073310,66447833,2
28516216,68118235,1
72866661,66159459,1
12432298,50937583,1
98423772,1740252,1
73099558,4725174,2
9946453,81404877,1
13210892,10797208,2
84016892,76576897,1
5944102,25620224,1
67282173,15960857,1
91558724,5984696,1
96913349,84881540,1
43673731,53630767,2
62425525,71428421,2
40228913,39992385,2
98571925,74834033,2
76622964,25513924,1
64196311,58073310,2
90233535,44591337,2
52926870,18463157,1
66447833,24655996,1
21086364,24241514,1
8963040,46062293,1
80566825,96770974,1
27402171,99250304,2
62073330,87912003,2
42907477,57619318,2
25637186,49769760,1
84051388,53208998,2
40159475,73257134,1
1195942,56904407,2
2253877,59222463,2
91238301,96750709,1
10234798,14398967,2
3912027,84474217,1
34297417,27800418,2
20714438,52926870,1
51372304,53630767,1
92523951,50405260,1
94953815,40159475,1
58496287,55566923,2
91883290,13296659,2
74776829,40430147,2
2253877,56626757,2
6683133,84288291,1
59071361,63784743,2
19686554,66447833,1
41293120,95599888,1
88233505,86931192,1
84672707,93921337,1
18192833,14355256,2
6518014,12968253,2
97258118,10941305,2
39376211,47030957,1
22653104,77905676,2
48983647,61296415,2
25723014,56011104,1
81752722,50900292,1
35623783,17292874,1
4449259,79364590,2
31678190,31840240,1
70919399,78412165,1
83718079,3358929,1
39202072,32231430,2
76100399,60362229,1
