src_origin_id,dst_origin_id,edge_type
76863896,49151534,1
47816357,40406738,1
3043561,30296202,1
3074228,83827776,1
2015515,4294049,1
26555355,48945237,1
94953815,81769175,1
63176449,2253877,1
4634419,41432282,1
70580769,66655833,1
34044866,36674503,1
1013990,18203025,1
71087673,47898875,1
36964396,94120065,1
8383150,45335172,1
72208118,27410436,1
81404877,97271167,1
31146018,47071518,1
94352667,94698023,1
74834033,9034827,1
68330823,89019807,1
37502990,13036784,1
35833182,31303766,1
91483642,27952786,1
2530370,1197918,1
15159568,20818552,1
27410436,37421444,1
59698456,47357817,1
1909339,44962731,1
84672707,76554114,1
20153226,47357817,1
86756445,45990138,1
48945237,2967861,1
99250304,39992385,1
13857148,69214312,1
18203025,78100062,1
11841039,15941972,1
3034317,55182740,1
39202072,8963040,1
13286828,37097757,1
64857112,52309191,1
67802809,30927371,1
69214312,31184430,1
68607030,46724148,1
98378496,17237660,1
32050951,44780972,1
41870667,5536379,1
36193280,84051388,1
80290923,55251756,1
32042730,15941972,1
68780466,54557409,1
92523951,79606521,1
77604210,63514877,1
70971988,57361282,1
29952687,48357163,1
94666103,66793671,1
50960045,58685182,1
11894572,91788417,1
28252053,66180684,1
2938645,34872913,1
34872913,1197918,1
76339936,14988572,1
70052585,68780466,1
95826133,38643000,1
1783071,49941591,1
76863896,87991063,1
50937583,27402171,1
74454416,55566923,1
91858045,38301746,1
48043921,22917596,1
62295681,31437775,1
46780709,20525355,1
15566006,28245948,1
42907477,55566923,1
6159312,79606521,1
80889253,74158023,1
11047977,29470027,1
21115640,68519817,1
5993527,62443889,1
77276493,75906761,1
42233067,41432282,1
1356835,49267308,1
1368680,16046965,1
1208580,57619318,1
71428421,40089677,1
70610490,28089126,1
9901689,2079460,1
61229605,77109152,1
84016892,53208998,1
47816357,36674503,1
76100399,50250153,1
19153623,81938027,1
45277950,37655465,1
31437775,59071361,1
90233535,20559342,1
2060106,31146018,1
43231809,37113338,1
98571925,24655996,1
78412165,4449259,1
95184348,13036784,1
36512964,14519056,1
57514371,51852077,1
91483642,51094488,1
91157005,73818897,1
76100399,67282173,1
45335172,66159459,1
84802060,18047370,1
95451477,3838367,1
1013990,70971988,1
6518014,4836298,1
23869190,62230473,1
65639044,68330823,1
54737719,55182740,1
3767680,94658761,1
13296659,25717661,1
72883533,28252053,1
77440365,5750662,1
22217366,43422077,1
62002370,39374992,1
24192935,91611215,1
26321046,53596992,1
3912027,41432282,1
85225525,45274356,1
51252932,24655996,1
70971988,31107120,1
74073030,37097757,1
37113338,52736884,1
4520873,40120676,1
27649656,58336122,1
84288291,89829116,1
52926870,89907535,1
73608067,72055385,1
99720713,47699636,1
21086364,24918530,1
40695972,62002370,1
98423772,52564440,1
91788417,54557409,1
1197918,83527038,1
94666103,42233067,1
28516216,68118235,1
72866661,66159459,1
12432298,50937583,1
98423772,1740252,1
9946453,81404877,1
84016892,76576897,1
5944102,25620224,1
67282173,15960857,1
91558724,5984696,1
96913349,84881540,1
76622964,25513924,1
52926870,18463157,1
66447833,24655996,1
21086364,24241514,1
8963040,46062293,1
80566825,96770974,1
25637186,49769760,1
40159475,73257134,1
91238301,96750709,1
3912027,84474217,1
20714438,52926870,1
51372304,53630767,1
92523951,50405260,1
94953815,40159475,1
6683133,84288291,1
19686554,66447833,1
41293120,95599888,1
88233505,86931192,1
84672707,93921337,1
39376211,47030957,1
25723014,56011104,1
81752722,50900292,1
35623783,17292874,1
31678190,31840240,1
70919399,78412165,1
83718079,3358929,1
76100399,60362229,1
93490592,31437775,1
67726424,60296550,1
31184430,96750709,1
45335172,73825960,1
99720713,27866384,1
75033688,49151534,1
69398472,36547107,1
14037535,37923579,1
98571925,93918643,1
53630767,61962881,1
16384919,35911711,1
91611215,89853089,1
48408624,25809596,1
1303155,32627895,1
78128030,92833735,1
42365909,35048202,1
4293435,37593271,1
47071518,29682545,1
28516661,31184430,1
98280332,41170770,1
51703877,76671007,1
86295256,47380519,1
2361129,39025106,1
73696441,67010076,1
7166745,29547242,1
15292487,77276493,1
18770728,38455192,1
27402171,85859342,1
79670402,94443498,1
72741122,95482810,1
50978393,40406738,1
17291348,96365107,1
93411439,31840240,1
40641501,9632267,1
25513924,31664255,1
29470027,61229605,1
91611215,9946453,1
55251756,14812650,1
59071361,84051388,1
46333399,7625930,1
80303223,62002370,1
92523951,31437775,1
16046965,97258118,1
15566006,33451035,1
5536379,40515932,1
51252932,71174363,1
17055521,8693754,1
22987690,50405260,1
36141023,34097118,1
31840240,81227891,1
4674558,96839884,1
15566006,95225549,1
74537695,40543553,1
97271167,17291348,1
63176449,36110397,1
75033688,28164398,1
77220873,53797524,1
15292487,9519342,1
81938027,73353746,1
88608944,34508366,1
89829116,92075168,1
97388623,43422077,1
46121993,51703877,1
73074388,50405260,1
57303434,56263795,1
74301887,47380519,1
41372708,94794415,1
89853089,10508065,1
4674558,94443498,1
13966957,16384919,1
39342639,25809596,1
27712783,81605408,1
27507043,71456361,1
19686554,52669852,1
30427337,13721129,1
54574136,40380082,1
11841039,78134743,1
40486866,62325005,1
54574136,47699636,1
70383408,41809047,1
9886484,31756795,1
19391323,56202252,1
72921814,99431405,1
66159459,61825754,1
39952079,74345801,1
65747885,6310965,1
29307751,16364896,1
34097118,57361282,1
52884794,38474399,1
83832488,68607030,1
61962881,35803587,1
68089076,26984970,1
89829116,35144728,1
88101462,10114522,1
77738881,59698456,1
7519652,20714438,1
27712783,76671007,1
52300434,5984696,1
93516836,73598248,1
94666103,77109152,1
12968253,95153062,1
24547668,69018752,1
53348312,11311771,1
46378272,43673731,1
34452965,67181841,1
65747885,31756795,1
31577392,66961566,1
43673731,52300434,1
68519817,36193280,1
6893312,99250304,1
75906761,17055521,1
68986527,44591337,1
57303434,45316543,1
39376211,18770728,1
27047919,10828241,1
79841776,37707198,1
12330213,92075168,1
45277950,67454945,1
88608944,48043921,1
58433227,4725174,1
32231430,56202252,1
1740252,74834033,1
32231430,68775273,1
68607030,27082796,1
93533308,23383243,1
46725166,18979483,1
75085287,95451477,1
97258118,49819075,1
48983647,5984696,1
61039156,53411021,1
5750662,37421444,1
72661267,91858045,1
34097118,83832488,1
4293435,45274356,1
4449259,46333399,1
18667655,45990138,1
90233535,53427267,1
86143897,7488421,1
27410436,77905676,1
24241514,2079460,1
91412744,28404703,1
95826133,33574826,1
24244207,46378272,1
27402171,81227891,1
7955754,72055385,1
31577392,66717050,1
73825960,81019816,1
44780972,68421828,1
74454416,67181841,1
96007668,88233505,1
78134743,81938027,1
55852776,79318025,1
31385488,65394187,1
20139115,73422138,1
31303766,28516661,1
77516821,17024972,1
95225549,81310739,1
91611215,15960857,1
20525355,7488421,1
53348312,17055521,1
6159312,68421828,1
13966957,20153226,1
7854492,9901689,1
26500083,23383243,1
79229286,50096137,1
64616048,18192833,1
49505243,88677902,1
39992385,14355256,1
10694337,88384564,1
18203025,57335448,1
55852776,96300127,1
37509398,54557409,1
24918530,60922370,1
27221222,52998304,1
65025018,56904407,1
79563067,91833240,1
19855302,8681781,1
40159475,69931260,1
96376171,70723339,1
91483642,27159196,1
46968781,8963040,1
56011104,34644971,1
17292874,63176449,1
1194755,2938645,1
59726120,71428421,1
44852679,57335448,1
90279207,54737719,1
3034317,52300434,1
95225549,21527628,1
34508366,57619318,1
14851583,46780709,1
69018752,41170770,1
30599608,37532641,1
81137909,28252053,1
62601383,67010076,1
69942708,11001171,1
91558724,25723014,1
71830144,25618985,1
47071518,84578254,1
98831516,77516821,1
77440365,98378496,1
16611799,62425525,1
56536881,35803587,1
5853950,39135566,1
57899435,4520873,1
85859342,48408624,1
56202252,62343415,1
45277950,2490822,1
35911711,62508360,1
49078377,77570634,1
34872913,80397737,1
72824209,81137909,1
79229286,52477331,1
2967861,26500083,1
44383413,71428421,1
34508366,41451464,1
66717050,19855302,1
13382034,27712783,1
33679470,8027034,1
39202072,86198845,1
56581181,98423772,1
9946453,79229286,1
20153226,94658761,1
36903596,2967861,1
97271167,8934676,1
44962731,80204676,1
57335448,86198845,1
26949505,79318025,1
36512964,74512676,1
54942642,32009498,1
41293120,55845924,1
57335448,52564440,1
93777472,7488421,1
96007668,69942708,1
4574185,74540377,1
33451035,55182740,1
57514371,78412165,1
40486866,72208118,1
4293435,81137909,1
6893312,73943821,1
47080409,91483642,1
29470027,68920491,1
46274912,61296415,1
91846905,58477116,1
80204676,5873920,1
94953815,67010076,1
32009498,66793671,1
74834033,78693286,1
18192833,14130343,1
7519652,23234376,1
70983004,41372708,1
10297694,81137909,1
10694337,40486866,1
83718079,6310965,1
37509398,4294049,1
66539797,11471082,1
50960045,98831516,1
9632267,20756767,1
39952079,17024972,1
21109584,90279207,1
86652557,26949505,1
58496287,13599980,1
66335041,26561160,1
46750376,40695972,1
1013990,38044575,1
61390425,2490822,1
81769175,30414554,1
16384480,18893070,1
47030957,11047977,1
10557084,31501038,1
77905676,94794415,1
47322095,11255584,1
93533308,35048202,1
37556663,63514877,1
4520873,7166745,1
55251756,7955754,1
50978393,23234376,1
15292487,79002309,1
98623703,91883290,1
81058936,33679470,1
39697097,37421444,1
74158023,79364590,1
94443498,75028875,1
45315576,66655833,1
46724148,86756445,1
61229605,55610373,1
20107904,92010362,1
61039156,36638392,1
73608067,57655210,1
49819075,86532794,1
31840240,64196311,1
33717332,77570634,1
56626757,87991063,1
49505243,46724148,1
43422077,34508366,1
31678190,7658303,1
25222999,65688446,1
26949505,28164398,1
96770974,98280332,1
47603926,20559342,1
47071518,66447833,1
68089076,76576897,1
2530370,56263795,1
2060106,3034317,1
27408613,52669852,1
31146018,54942642,1
17264768,62230473,1
46121993,89100001,1
43673731,37509398,1
80566825,49819075,1
48587723,80566825,1
55156021,78134743,1
1013990,31868927,1
15292487,81310739,1
96300127,46062293,1
47497170,27159196,1
12968253,27866384,1
13036784,95906696,1
25116789,15868038,1
7248464,21109584,1
96750709,72921814,1
23745026,48983647,1
63514877,36638392,1
70723339,39025106,1
62343415,91788417,1
79362409,90357232,1
97258118,10297694,1
25637186,11255584,1
78010500,14851583,1
56904407,14398967,1
72986438,71317039,1
76339936,75906761,1
19066394,81019816,1
93590592,66793671,1
36547107,53845671,1
68692189,13685033,1
57701748,20323232,1
70971988,1013990,1
21109584,87427494,1
97707645,28089126,1
84288291,27221222,1
77738881,6902281,1
31501038,55894453,1
29470027,75002527,1
40515932,71174363,1
1013990,93411439,1
57057530,25248144,1
26984970,46725166,1
89907535,71456361,1
25637186,51223342,1
60922370,89261509,1
51223342,79002309,1
41451464,85626932,1
15177236,45316543,1
29547242,26949505,1
71456361,70052585,1
74454416,67919441,1
28202536,38415243,1
53748402,7854492,1
80303223,1783071,1
5944102,41870667,1
67181841,66793671,1
17292874,13422367,1
36964396,30426367,1
27408613,84474217,1
8681781,24944608,1
75028875,55182740,1
21115640,27649656,1
99676093,66961566,1
1783071,56904407,1
38455192,2794837,1
88677902,50447883,1
46145472,70383408,1
41343948,49267308,1
